SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
393185,7,5,4534,4,4350,2021-01-13,249171.60,37375.74,286547.34,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393233,4,5,4535,4,2788,2021-01-14,669984.00,100497.60,770481.60,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393236,7,5,4536,4,5134,2021-01-14,248754.80,37313.22,286068.02,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393261,4,5,4537,4,2614,2021-01-15,669264.00,100389.60,769653.60,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393264,7,5,4538,4,3956,2021-01-15,248338.00,37250.70,285588.70,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393310,4,5,4539,4,3802,2021-01-18,668544.00,100281.60,768825.60,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393313,7,5,4540,4,6626,2021-01-18,247921.20,37188.18,285109.38,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393314,4,7,,4,,2021-01-18,.00,.00,-3852408.00,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393315,7,7,,4,,2021-01-18,.00,.00,-1430340.10,.00,2021-01-18,True,11,2021-01-18 09:00:00.0000000
393359,4,5,4541,4,8212,2021-01-19,668244.00,100236.60,768480.60,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393362,7,5,4542,4,2571,2021-01-19,247504.40,37125.66,284630.06,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393396,4,5,4543,4,7059,2021-01-20,667524.00,100128.60,767652.60,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393399,7,5,4544,4,2973,2021-01-20,247087.60,37063.14,284150.74,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393434,4,5,4545,4,4699,2021-01-21,666804.00,100020.60,766824.60,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393437,7,5,4546,4,6343,2021-01-21,246670.80,37000.62,283671.42,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393468,4,5,4547,4,4950,2021-01-22,666756.00,100013.40,766769.40,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393471,7,5,4548,4,8562,2021-01-22,246254.00,36938.10,283192.10,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393523,4,5,4549,4,7159,2021-01-25,666036.00,99905.40,765941.40,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393526,7,5,4550,4,6717,2021-01-25,245837.20,36875.58,282712.78,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393528,4,5,4551,4,9720,2021-01-25,756.00,113.40,869.40,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393529,4,7,,4,,2021-01-25,.00,.00,-3836538.00,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393530,7,7,,4,,2021-01-25,.00,.00,-1418357.10,.00,2021-01-25,True,2,2021-01-25 09:00:00.0000000
393570,4,5,4552,4,6546,2021-01-26,665880.00,99882.00,765762.00,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393573,7,5,4553,4,5989,2021-01-26,245513.60,36827.04,282340.64,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393603,4,5,4554,4,2779,2021-01-27,665160.00,99774.00,764934.00,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393606,7,5,4555,4,31,2021-01-27,245096.80,36764.52,281861.32,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393643,4,5,4556,4,8411,2021-01-28,664440.00,99666.00,764106.00,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393646,7,5,4557,4,5347,2021-01-28,244680.00,36702.00,281382.00,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393690,4,5,4558,4,9113,2021-01-29,664776.00,99716.40,764492.40,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393693,7,5,4559,4,5753,2021-01-29,244773.20,36715.98,281489.18,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393759,4,5,4560,4,2691,2021-02-01,665016.00,99752.40,764768.40,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393762,7,5,4561,4,5924,2021-02-01,244356.40,36653.46,281009.86,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393763,4,7,,4,,2021-02-01,.00,.00,-3824062.80,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393764,7,7,,4,,2021-02-01,.00,.00,-1408083.00,.00,2021-02-01,True,13,2021-02-01 09:00:00.0000000
393808,4,5,4562,4,1031,2021-02-02,665256.00,99788.40,765044.40,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393811,7,5,4563,4,2439,2021-02-02,243939.60,36590.94,280530.54,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393853,4,5,4564,4,2494,2021-02-03,664704.00,99705.60,764409.60,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393856,7,5,4565,4,9480,2021-02-03,243522.80,36528.42,280051.22,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393903,4,5,4566,4,6584,2021-02-04,663984.00,99597.60,763581.60,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393906,7,5,4567,4,4300,2021-02-04,243106.00,36465.90,279571.90,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393954,4,5,4568,4,2626,2021-02-05,663264.00,99489.60,762753.60,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
393957,7,5,4569,4,598,2021-02-05,242689.20,36403.38,279092.58,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
394022,4,5,4570,4,516,2021-02-08,663504.00,99525.60,763029.60,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
394025,7,5,4571,4,6541,2021-02-08,242272.40,36340.86,278613.26,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
394026,4,7,,4,,2021-02-08,.00,.00,-3818818.80,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
394027,7,7,,4,,2021-02-08,.00,.00,-1397859.50,.00,2021-02-08,True,16,2021-02-08 09:00:00.0000000
394060,4,5,4572,4,4645,2021-02-09,662784.00,99417.60,762201.60,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394063,7,5,4573,4,6841,2021-02-09,242365.60,36354.84,278720.44,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394102,4,5,4574,4,1501,2021-02-10,662064.00,99309.60,761373.60,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394105,7,5,4575,4,1597,2021-02-10,242332.80,36349.92,278682.72,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394127,4,5,4576,4,5363,2021-02-11,661344.00,99201.60,760545.60,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394130,7,5,4577,4,3116,2021-02-11,242261.60,36339.24,278600.84,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394157,4,5,4578,4,9056,2021-02-12,661200.00,99180.00,760380.00,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394160,7,5,4579,4,6013,2021-02-12,241844.80,36276.72,278121.52,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394205,4,5,4580,4,5348,2021-02-15,660480.00,99072.00,759552.00,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394208,7,5,4581,4,1939,2021-02-15,241428.00,36214.20,277642.20,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394210,4,5,4582,4,1912,2021-02-15,252.00,37.80,289.80,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394211,4,7,,4,,2021-02-15,.00,.00,-3804342.60,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394212,7,7,,4,,2021-02-15,.00,.00,-1391767.72,.00,2021-02-15,True,18,2021-02-15 09:00:00.0000000
394236,4,5,4583,4,3543,2021-02-16,660324.00,99048.60,759372.60,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394239,7,5,4584,4,5080,2021-02-16,240594.40,36089.16,276683.56,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394282,4,5,4585,4,4072,2021-02-17,659604.00,98940.60,758544.60,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394285,7,5,4586,4,593,2021-02-17,240177.60,36026.64,276204.24,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394330,4,5,4587,4,5981,2021-02-18,658884.00,98832.60,757716.60,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394333,7,5,4588,4,4631,2021-02-18,239760.80,35964.12,275724.92,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394367,4,5,4589,4,9280,2021-02-19,658164.00,98724.60,756888.60,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394370,7,5,4590,4,6997,2021-02-19,239536.00,35930.40,275466.40,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394423,4,5,4591,4,7536,2021-02-22,657444.00,98616.60,756060.60,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394426,7,5,4592,4,395,2021-02-22,239119.20,35867.88,274987.08,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394427,4,7,,4,,2021-02-22,.00,.00,-3788583.00,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394428,7,7,,4,,2021-02-22,.00,.00,-1379066.20,.00,2021-02-22,True,15,2021-02-22 09:00:00.0000000
394474,4,5,4593,4,2578,2021-02-23,656976.00,98546.40,755522.40,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394477,7,5,4594,4,3328,2021-02-23,238702.40,35805.36,274507.76,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394507,4,5,4595,4,3902,2021-02-24,656256.00,98438.40,754694.40,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394510,7,5,4596,4,5446,2021-02-24,238285.60,35742.84,274028.44,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394535,4,5,4597,4,7290,2021-02-25,655632.00,98344.80,753976.80,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394538,7,5,4598,4,5756,2021-02-25,237868.80,35680.32,273549.12,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394586,4,5,4599,4,197,2021-02-26,654912.00,98236.80,753148.80,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394589,7,5,4600,4,2361,2021-02-26,237452.00,35617.80,273069.80,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394640,4,5,4601,4,1779,2021-03-01,654192.00,98128.80,752320.80,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394643,7,5,4602,4,7623,2021-03-01,237035.20,35555.28,272590.48,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394644,4,7,,4,,2021-03-01,.00,.00,-3769663.20,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394645,7,7,,4,,2021-03-01,.00,.00,-1367745.60,.00,2021-03-01,True,3,2021-03-01 09:00:00.0000000
394663,4,5,4603,4,851,2021-03-02,654432.00,98164.80,752596.80,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394666,7,5,4604,4,3897,2021-03-02,236618.40,35492.76,272111.16,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394703,4,5,4605,4,5644,2021-03-03,654672.00,98200.80,752872.80,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394706,7,5,4606,4,6942,2021-03-03,236201.60,35430.24,271631.84,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394731,4,5,4607,4,2509,2021-03-04,653952.00,98092.80,752044.80,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394734,7,5,4608,4,7930,2021-03-04,235784.80,35367.72,271152.52,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394757,4,5,4609,4,4261,2021-03-05,653232.00,97984.80,751216.80,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394760,7,5,4610,4,2711,2021-03-05,235368.00,35305.20,270673.20,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394814,4,5,4611,4,7810,2021-03-08,652512.00,97876.80,750388.80,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394817,7,5,4612,4,1485,2021-03-08,234951.20,35242.68,270193.88,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394818,4,7,,4,,2021-03-08,.00,.00,-3759120.00,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394819,7,7,,4,,2021-03-08,.00,.00,-1355762.60,.00,2021-03-08,True,8,2021-03-08 09:00:00.0000000
394845,4,5,4613,4,3397,2021-03-09,651792.00,97768.80,749560.80,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394848,7,5,4614,4,1914,2021-03-09,234534.40,35180.16,269714.56,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394875,4,5,4615,4,1977,2021-03-10,651072.00,97660.80,748732.80,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394878,7,5,4616,4,7623,2021-03-10,234117.60,35117.64,269235.24,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394915,4,5,4617,4,1452,2021-03-11,650352.00,97552.80,747904.80,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394918,7,5,4618,4,3964,2021-03-11,233700.80,35055.12,268755.92,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394952,4,5,4619,4,3938,2021-03-12,649632.00,97444.80,747076.80,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
394955,7,5,4620,4,8098,2021-03-12,233284.00,34992.60,268276.60,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
395000,4,5,4621,4,3940,2021-03-15,650832.00,97624.80,748456.80,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
395003,7,5,4622,4,4601,2021-03-15,232867.20,34930.08,267797.28,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
395004,4,7,,4,,2021-03-15,.00,.00,-3741732.00,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
395005,7,7,,4,,2021-03-15,.00,.00,-1343779.60,.00,2021-03-15,True,7,2021-03-15 09:00:00.0000000
395050,4,5,4623,4,7087,2021-03-16,650112.00,97516.80,747628.80,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395053,7,5,4624,4,4954,2021-03-16,232450.40,34867.56,267317.96,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395077,4,5,4625,4,9781,2021-03-17,649392.00,97408.80,746800.80,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395080,7,5,4626,4,5672,2021-03-17,232033.60,34805.04,266838.64,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395123,4,5,4627,4,1246,2021-03-18,648672.00,97300.80,745972.80,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395126,7,5,4628,4,10,2021-03-18,231616.80,34742.52,266359.32,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395171,4,5,4629,4,7881,2021-03-19,647952.00,97192.80,745144.80,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395174,7,5,4630,4,1593,2021-03-19,231200.00,34680.00,265880.00,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395223,4,5,4631,4,2422,2021-03-22,647232.00,97084.80,744316.80,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395226,7,5,4632,4,5421,2021-03-22,230783.20,34617.48,265400.68,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395227,4,7,,4,,2021-03-22,.00,.00,-3729864.00,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395228,7,7,,4,,2021-03-22,.00,.00,-1331796.60,.00,2021-03-22,True,6,2021-03-22 09:00:00.0000000
395249,4,5,4633,4,4359,2021-03-23,646512.00,96976.80,743488.80,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395252,7,5,4634,4,2898,2021-03-23,230366.40,34554.96,264921.36,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395287,4,5,4635,4,1396,2021-03-24,645792.00,96868.80,742660.80,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395290,7,5,4636,4,4261,2021-03-24,229949.60,34492.44,264442.04,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395335,4,5,4637,4,6196,2021-03-25,645072.00,96760.80,741832.80,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395338,7,5,4638,4,990,2021-03-25,229532.80,34429.92,263962.72,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395380,4,5,4639,4,356,2021-03-26,644352.00,96652.80,741004.80,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395383,7,5,4640,4,4636,2021-03-26,229116.00,34367.40,263483.40,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395451,4,5,4641,4,6558,2021-03-29,643632.00,96544.80,740176.80,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395454,7,5,4642,4,180,2021-03-29,228699.20,34304.88,263004.08,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395455,4,7,,4,,2021-03-29,.00,.00,-3709164.00,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395456,7,7,,4,,2021-03-29,.00,.00,-1319813.60,.00,2021-03-29,True,11,2021-03-29 09:00:00.0000000
395485,4,5,4643,4,9876,2021-03-30,642912.00,96436.80,739348.80,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395488,7,5,4644,4,5603,2021-03-30,228282.40,34242.36,262524.76,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395516,4,5,4645,4,234,2021-03-31,642192.00,96328.80,738520.80,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395519,7,5,4646,4,9015,2021-03-31,227865.60,34179.84,262045.44,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395562,4,5,4647,4,907,2021-04-01,641472.00,96220.80,737692.80,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395565,7,5,4648,4,943,2021-04-01,227448.80,34117.32,261566.12,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395613,4,5,4649,4,6511,2021-04-02,641004.00,96150.60,737154.60,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395616,7,5,4650,4,6392,2021-04-02,227032.00,34054.80,261086.80,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395675,4,5,4651,4,8480,2021-04-05,640284.00,96042.60,736326.60,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395678,7,5,4652,4,7080,2021-04-05,226615.20,33992.28,260607.48,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395679,4,7,,4,,2021-04-05,.00,.00,-3689043.60,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395680,7,7,,4,,2021-04-05,.00,.00,-1307830.60,.00,2021-04-05,True,14,2021-04-05 09:00:00.0000000
395722,4,5,4653,4,922,2021-04-06,639564.00,95934.60,735498.60,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395725,7,5,4654,4,6567,2021-04-06,226198.40,33929.76,260128.16,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395763,4,5,4655,4,8368,2021-04-07,639948.00,95992.20,735940.20,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395766,7,5,4656,4,9493,2021-04-07,225781.60,33867.24,259648.84,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395790,4,5,4657,4,1604,2021-04-08,639228.00,95884.20,735112.20,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395793,7,5,4658,4,7127,2021-04-08,225364.80,33804.72,259169.52,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395817,4,5,4659,4,3575,2021-04-09,638508.00,95776.20,734284.20,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395820,7,5,4660,4,9056,2021-04-09,224948.00,33742.20,258690.20,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395876,4,5,4661,4,7210,2021-04-12,637788.00,95668.20,733456.20,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395879,7,5,4662,4,1713,2021-04-12,224531.20,33679.68,258210.88,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395880,4,7,,4,,2021-04-12,.00,.00,-3674291.40,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395881,7,7,,4,,2021-04-12,.00,.00,-1295847.60,.00,2021-04-12,True,13,2021-04-12 09:00:00.0000000
395918,4,5,4663,4,8405,2021-04-13,637068.00,95560.20,732628.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
395921,7,5,4664,4,9026,2021-04-13,224383.20,33657.48,258040.68,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
395969,4,5,4665,4,3964,2021-04-14,638508.00,95776.20,734284.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
395972,7,5,4666,4,4975,2021-04-14,223966.40,33594.96,257561.36,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396014,4,5,4667,4,5666,2021-04-15,637788.00,95668.20,733456.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396017,7,5,4668,4,4771,2021-04-15,223549.60,33532.44,257082.04,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396057,4,5,4669,4,2392,2021-04-16,637068.00,95560.20,732628.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396060,7,5,4670,4,6331,2021-04-16,224832.80,33724.92,258557.72,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396106,4,5,4671,4,8801,2021-04-19,636348.00,95452.20,731800.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396109,7,5,4672,4,406,2021-04-19,225096.00,33764.40,258860.40,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396111,4,5,4673,4,9135,2021-04-19,960.00,144.00,1104.00,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396112,4,7,,4,,2021-04-19,.00,.00,-3665901.00,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396113,7,7,,4,,2021-04-19,.00,.00,-1290102.20,.00,2021-04-19,True,15,2021-04-19 09:00:00.0000000
396152,4,5,4674,4,10,2021-04-20,636420.00,95463.00,731883.00,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396155,7,5,4675,4,4274,2021-04-20,224262.40,33639.36,257901.76,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396179,4,5,4676,4,9571,2021-04-21,635700.00,95355.00,731055.00,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396182,7,5,4677,4,2081,2021-04-21,223845.60,33576.84,257422.44,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396210,4,5,4678,4,4140,2021-04-22,634980.00,95247.00,730227.00,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396213,7,5,4679,4,7074,2021-04-22,223428.80,33514.32,256943.12,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396254,4,5,4680,4,363,2021-04-23,634260.00,95139.00,729399.00,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396257,7,5,4681,4,915,2021-04-23,223012.00,33451.80,256463.80,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396321,4,5,4682,4,8371,2021-04-26,634116.00,95117.40,729233.40,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396324,7,5,4683,4,6691,2021-04-26,222595.20,33389.28,255984.48,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396325,4,7,,4,,2021-04-26,.00,.00,-3651797.40,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396326,7,7,,4,,2021-04-26,.00,.00,-1284715.60,.00,2021-04-26,True,3,2021-04-26 09:00:00.0000000
396356,4,5,4684,4,6415,2021-04-27,633492.00,95023.80,728515.80,.00,2021-05-03,True,16,2021-05-03 09:00:00.0000000
396359,7,5,4685,4,5966,2021-04-27,222447.20,33367.08,255814.28,.00,2021-05-03,True,16,2021-05-03 09:00:00.0000000
396384,4,5,4686,4,7528,2021-04-28,632772.00,94915.80,727687.80,.00,2021-05-03,True,16,2021-05-03 09:00:00.0000000
396387,7,5,4687,4,7860,2021-04-28,222030.40,33304.56,255334.96,.00,2021-05-03,True,16,2021-05-03 09:00:00.0000000
